x1,x2
0.44285,0.97331
0.45906,0.96615
0.47492,0.95803
0.49058,0.94889
0.506,0.93874
0.52117,0.9276
0.53571,0.91574
0.54994,0.90295
0.56384,0.88924
0.57737,0.87462
0.59009,0.8596
0.60242,0.84376
0.61432,0.82709
0.62575,0.80962
0.63628,0.79209
0.64633,0.77385
0.65588,0.75491
0.66489,0.73527
0.67296,0.71593
0.6805,0.69599
0.68747,0.67546
0.69385,0.65436
0.69933,0.63387
0.70423,0.61289
0.70852,0.59145
0.71219,0.56955
0.71507,0.54829
0.71732,0.52665
0.71893,0.50465
0.71987,0.48231
0.72012,0.46194
0.71979,0.44131
0.71884,0.42045
0.71727,0.39937
0.71531,0.38027
0.71281,0.36102
0.70974,0.34163
0.7061,0.32211
0.70232,0.30449
0.69805,0.28679
0.69327,0.26902
0.68796,0.25119
0.68273,0.23514
0.67704,0.21906
0.6709,0.20296
0.66427,0.18685
0.6578,0.17217
0.65091,0.15749
0.64358,0.14284
0.63581,0.12823
0.6282,0.11471
0.62018,0.10123
0.61174,0.087814
0.60287,0.07446
0.5943,0.062208
0.58534,0.050029
0.57598,0.037933
0.56622,0.025931
0.55689,0.015011
0.54719,0.0041871
0.53712,-0.0065293
0.52666,-0.017128
0.51676,-0.026693
0.50652,-0.036141
0.49592,-0.045462
0.48497,-0.054647
0.47468,-0.062867
0.46408,-0.070954
0.45315,-0.078899
0.44188,-0.086691
0.43156,-0.093485
0.42096,-0.10014
0.41006,-0.10664
0.39886,-0.11299
0.38933,-0.11812
0.37958,-0.12313
0.3696,-0.128
0.35939,-0.13274
0.35066,-0.13658
0.34176,-0.14031
0.33268,-0.14393
0.32342,-0.14742
0.31545,-0.15026
0.30735,-0.15301
0.29911,-0.15565
0.29072,-0.15818
0.28329,-0.16029
0.27574,-0.16232
0.26808,-0.16424
0.2603,-0.16606
0.25333,-0.16758
0.24627,-0.16902
0.23912,-0.17036
0.23186,-0.1716
0.22533,-0.17263
0.21872,-0.17357
0.21203,-0.17442
0.20525,-0.17519
0.19913,-0.17579
0.19293,-0.17631
0.18667,-0.17676
0.18033,-0.17711
0.17459,-0.17736
0.16878,-0.17753
0.16291,-0.17762
0.15698,-0.17763
0.15158,-0.17757
0.14613,-0.17743
0.14063,-0.17722
0.13508,-0.17693
0.13,-0.1766
0.12488,-0.1762
0.11971,-0.17573
0.11451,-0.17518
0.10972,-0.17461
0.1049,-0.17398
0.10005,-0.17327
0.095163,-0.1725
0.090653,-0.17172
0.086115,-0.17088
0.081549,-0.16997
0.076955,-0.16899
0.072536,-0.16798
0.068092,-0.16691
0.063625,-0.16576
0.059134,-0.16454
0.054763,-0.16329
0.050372,-0.16196
0.045961,-0.16056
0.041532,-0.15907
0.037233,-0.15756
0.032919,-0.15597
0.028592,-0.15429
0.024253,-0.15253
0.020045,-0.15075
0.015829,-0.14888
0.011607,-0.14692
0.0073823,-0.14487
0.00328,-0.14279
-0.0008211,-0.14062
-0.0049183,-0.13835
-0.0090087,-0.13599
-0.012992,-0.13359
-0.016962,-0.1311
-0.020917,-0.1285
-0.024852,-0.12581
-0.028699,-0.12306
-0.032519,-0.1202
-0.036309,-0.11724
-0.040062,-0.11418
-0.043449,-0.11129
-0.046799,-0.10831
-0.050107,-0.10524
-0.053369,-0.10208
-0.056331,-0.099081
-0.059247,-0.096006
-0.062112,-0.092852
-0.064924,-0.08962
-0.067485,-0.086549
-0.069992,-0.083411
-0.072444,-0.080208
-0.074836,-0.076941
-0.077015,-0.073831
-0.079138,-0.070667
-0.081201,-0.067451
-0.083203,-0.064185
-0.085027,-0.061067
-0.086793,-0.057909
-0.088499,-0.05471
-0.090143,-0.051473
-0.091643,-0.048371
-0.093085,-0.045237
-0.094468,-0.042075
-0.09579,-0.038886
-0.096998,-0.035811
-0.098149,-0.032715
-0.099243,-0.0296
-0.10028,-0.026467
-0.10122,-0.02343
-0.10211,-0.020379
-0.10295,-0.017317
-0.10373,-0.014246
-0.10444,-0.011257
-0.10509,-0.008262
-0.1057,-0.0052628
-0.10625,-0.0022606
-0.10674,0.0006594
-0.10719,0.0035796
-0.10758,0.0064986
-0.10793,0.0094153
-0.10823,0.012231
-0.10848,0.015043
-0.10869,0.017849
-0.10886,0.020649
-0.10899,0.023418
-0.10908,0.026179
-0.10913,0.028932
-0.10914,0.031675
-0.10912,0.034514
-0.10905,0.037342
-0.10895,0.040157
-0.10881,0.042958
-0.10863,0.045864
-0.1084,0.048754
-0.10814,0.051627
-0.10784,0.054484
-0.10749,0.057451
-0.1071,0.060399
-0.10668,0.063327
-0.10621,0.066235
-0.10569,0.069263
-0.10513,0.072267
-0.10454,0.075248
-0.10391,0.078205
-0.10317,0.081448
-0.10239,0.084661
-0.10157,0.087844
-0.10072,0.090997
-0.099743,0.094424
-0.098724,0.097815
-0.097665,0.10117
-0.096568,0.10449
-0.095325,0.10808
-0.09404,0.11163
-0.092715,0.11513
-0.091353,0.11859
-0.089819,0.12234
-0.088244,0.12603
-0.08663,0.12967
-0.084979,0.13326
-0.083127,0.13714
-0.081235,0.14097
-0.079305,0.14473
-0.07734,0.14844
-0.075138,0.15246
-0.072897,0.15641
-0.070621,0.1603
-0.068312,0.16412
-0.065721,0.16827
-0.063095,0.17235
-0.060435,0.17635
-0.057746,0.18028
-0.05472,0.18457
-0.051663,0.18876
-0.048575,0.19288
-0.045461,0.19691
-0.041945,0.20133
-0.038401,0.20565
-0.034831,0.20987
-0.031238,0.214
-0.027164,0.21854
-0.023066,0.22298
-0.018947,0.2273
-0.014809,0.23152
-0.010153,0.23613
-0.0054797,0.24061
-0.0007912,0.24497
0.00391,0.24921
0.0089942,0.25366
0.014088,0.25799
0.019189,0.26219
0.024296,0.26627
0.029823,0.27055
0.035352,0.2747
0.040881,0.27872
0.046408,0.28262
0.052386,0.2867
0.058359,0.29065
0.064324,0.29447
0.07028,0.29815
0.076716,0.30201
0.083138,0.30572
0.089544,0.30929
0.095935,0.31273
0.10283,0.31631
0.1097,0.31974
0.11655,0.32303
0.12338,0.32618
0.13072,0.32944
0.13804,0.33254
0.14532,0.3355
0.15258,0.33832
0.16036,0.3412
0.16811,0.34392
0.17582,0.3465
0.18348,0.34893
0.19168,0.35138
0.19983,0.35367
0.20793,0.3558
0.21598,0.35779
0.22454,0.35975
0.23305,0.36154
0.2415,0.36318
0.2499,0.36466
0.25889,0.36609
0.26782,0.36735
0.27668,0.36845
0.28548,0.36938
0.29512,0.37023
0.30468,0.3709
0.31416,0.37138
0.32356,0.37169
0.33386,0.37183
0.34407,0.37177
0.35417,0.37151
0.36418,0.37106
0.37514,0.37035
0.38599,0.36941
0.39671,0.36826
0.40732,0.36689
0.41894,0.36515
0.43041,0.36316
0.44174,0.36093
0.45293,0.35848
0.46518,0.35549
0.47726,0.35225
0.48915,0.34874
0.50087,0.34499
0.51371,0.34054
0.52632,0.3358
0.53872,0.33078
0.55091,0.3255
0.56425,0.31931
0.57732,0.3128
0.59013,0.306
0.60268,0.29891
0.61641,0.29066
0.62981,0.28207
0.6429,0.27317
0.65567,0.26396
0.66966,0.25325
0.68325,0.24219
0.69645,0.2308
0.70927,0.21909
0.72265,0.20612
0.73559,0.19282
0.74809,0.17919
0.76015,0.16527
0.77223,0.15051
0.78384,0.13547
0.79499,0.12016
0.80569,0.10459
0.81626,0.088291
0.82636,0.071758
0.83599,0.055012
0.84517,0.038068
0.8541,0.020493
0.86257,0.0027451
0.87057,-0.01516
0.87811,-0.033206
0.88544,-0.052044
0.89229,-0.071
0.89867,-0.090057
0.90458,-0.1092
0.91028,-0.12936
0.91549,-0.14958
0.9202,-0.16985
0.92444,-0.19014
0.92837,-0.21146
0.9318,-0.23277
0.93472,-0.25406
0.93714,-0.27531
0.93918,-0.2976
0.94068,-0.31981
0.94168,-0.34192
0.94218,-0.36392
0.94218,-0.38695
0.94164,-0.40981
0.9406,-0.4325
0.93905,-0.45498
0.93689,-0.47847
0.9342,-0.5017
0.931,-0.52465
0.9273,-0.54731
0.92287,-0.57091
0.91793,-0.59414
0.91248,-0.61699
0.90656,-0.63944
0.89979,-0.66269
0.89253,-0.68547
0.8848,-0.70775
0.8766,-0.72951
0.86749,-0.75188
0.85792,-0.77365
0.84791,-0.79479
0.83749,-0.81529
0.82611,-0.83613
0.81432,-0.85623
0.80215,-0.87558
0.78963,-0.89416
0.77618,-0.91274
0.7624,-0.93046
0.74831,-0.94729
0.73395,-0.96323
0.71878,-0.9788
0.70338,-0.99339
0.68776,-1.007
0.67197,-1.0196
0.65559,-1.0314
0.63908,-1.0422
0.62248,-1.0519
0.60582,-1.0604
0.58887,-1.068
0.57191,-1.0744
0.55499,-1.0797
0.53814,-1.0837
0.52136,-1.0867
0.50471,-1.0884
0.48823,-1.089
0.47193,-1.0883
0.45611,-1.0866
0.44054,-1.0837
0.42525,-1.0796
0.41025,-1.0743
0.39611,-1.0682
0.38231,-1.061
0.36887,-1.0527
0.35581,-1.0433
0.34388,-1.0334
0.33234,-1.0226
0.32121,-1.0108
0.3105,-0.99807
0.30105,-0.98545
0.29199,-0.97199
0.28334,-0.95767
0.27512,-0.94251
0.2681,-0.92811
0.26144,-0.913
0.25517,-0.89718
0.2493,-0.88062
0.24444,-0.86536
0.2399,-0.84951
0.23569,-0.83305
0.23182,-0.81599
0.22872,-0.80059
0.22589,-0.78469
0.22333,-0.7683
0.22103,-0.7514
0.21927,-0.73636
0.21771,-0.7209
0.21636,-0.70504
0.21522,-0.68874
0.2144,-0.67435
0.21373,-0.65962
0.21322,-0.64455
0.21285,-0.62912
0.21266,-0.61554
0.21257,-0.60168
0.21259,-0.58752
0.21271,-0.57306
0.21289,-0.56035
0.21315,-0.5474
0.21347,-0.5342
0.21385,-0.52074
0.21423,-0.50889
0.21465,-0.49684
0.21511,-0.48457
0.21561,-0.47207
0.21606,-0.46105
0.21653,-0.44985
0.21701,-0.43846
0.21751,-0.42687
0.21794,-0.41662
0.21838,-0.4062
0.21881,-0.39563
0.21923,-0.38489
0.21959,-0.37534
0.21994,-0.36565
0.22026,-0.35582
0.22057,-0.34584
0.22082,-0.33694
0.22104,-0.32791
0.22123,-0.31876
0.2214,-0.30948
0.22151,-0.30115
0.22158,-0.29272
0.22163,-0.28418
0.22163,-0.27553
0.22159,-0.26773
0.22151,-0.25984
0.22139,-0.25185
0.22122,-0.24376
0.22102,-0.23643
0.22078,-0.22902
0.22049,-0.22153
0.22015,-0.21395
0.21979,-0.20705
0.21939,-0.20008
0.21893,-0.19303
0.21841,-0.1859
0.21789,-0.17938
0.21732,-0.1728
0.21669,-0.16615
0.216,-0.15944
0.21531,-0.15326
0.21457,-0.14703
0.21377,-0.14073
0.21291,-0.13439
0.21206,-0.12851
0.21115,-0.12259
0.21017,-0.11662
0.20913,-0.1106
0.20811,-0.105
0.20703,-0.099362
0.20589,-0.093679
0.20467,-0.087955
0.20348,-0.082598
0.20222,-0.077207
0.2009,-0.071782
0.1995,-0.066324
0.19809,-0.061025
0.1966,-0.055697
0.19504,-0.050342
0.1934,-0.044959
0.19171,-0.039637
0.18994,-0.034291
0.18809,-0.028925
0.18615,-0.023539
0.18414,-0.01821
0.18205,-0.012867
0.17986,-0.0075121
0.17758,-0.0021475
0.17522,0.0031593
0.17277,0.0084692
0.17021,0.013779
0.16754,0.019084
0.16479,0.024325
0.16194,0.029554
0.15898,0.034766
0.1559,0.039958
0.15274,0.045067
0.14947,0.050146
0.14608,0.055189
0.14258,0.060192
0.13908,0.06499
0.13547,0.06974
0.13175,0.074435
0.12792,0.079072
0.12423,0.083362
0.12045,0.087591
0.11658,0.091756
0.11262,0.095851
0.10879,0.099663
0.10488,0.10341
0.1009,0.10708
0.096847,0.11067
0.092889,0.11406
0.088871,0.11736
0.084796,0.1206
0.080667,0.12375
0.076584,0.12675
0.072456,0.12968
0.068285,0.13253
0.064074,0.1353
0.059858,0.13797
0.055608,0.14056
0.051329,0.14307
0.047023,0.1455
0.042664,0.14787
0.038284,0.15016
0.033885,0.15237
0.029471,0.1545
0.024969,0.15658
0.020457,0.15859
0.015936,0.16051
0.011411,0.16236
0.0067805,0.16418
0.0021495,0.16591
-0.0024796,0.16757
-0.0071046,0.16915
-0.011832,0.1707
-0.01655,0.17217
-0.021259,0.17356
-0.025955,0.17489
-0.030732,0.17617
-0.035493,0.17738
-0.040237,0.17853
-0.044963,0.17961
-0.049736,0.18064
-0.054488,0.18161
-0.059217,0.18251
-0.063923,0.18336
-0.068638,0.18416
-0.073327,0.1849
-0.07799,0.18559
-0.082627,0.18622
-0.08742,0.18683
-0.092184,0.18739
-0.096918,0.18789
-0.10162,0.18835
-0.10657,0.18879
-0.11149,0.18918
-0.11637,0.18952
-0.12122,0.18981
-0.12634,0.19007
-0.13142,0.19029
-0.13646,0.19046
-0.14146,0.19059
-0.14675,0.19069
-0.152,0.19074
-0.15721,0.19074
-0.16237,0.19071
-0.16786,0.19063
-0.1733,0.19051
-0.17869,0.19036
-0.18403,0.19016
-0.18973,0.18991
-0.19537,0.18962
-0.20096,0.18929
-0.2065,0.18893
-0.21243,0.18851
-0.2183,0.18805
-0.22411,0.18755
-0.22987,0.18703
-0.23605,0.18643
-0.24217,0.18579
-0.24823,0.18513
-0.25423,0.18444
-0.26069,0.18366
-0.26708,0.18285
-0.2734,0.18201
-0.27966,0.18115
-0.28643,0.18019
-0.29312,0.1792
-0.29974,0.17819
-0.30629,0.17716
-0.31339,0.17602
-0.32041,0.17485
-0.32735,0.17367
-0.33422,0.17247
-0.34169,0.17114
-0.34907,0.1698
-0.35637,0.16845
-0.3636,0.16709
-0.37146,0.16558
-0.37924,0.16406
-0.38694,0.16254
-0.39455,0.16102
-0.40288,0.15933
-0.41111,0.15765
-0.41925,0.15597
-0.42731,0.15429
-0.43617,0.15243
-0.44494,0.15058
-0.45361,0.14875
-0.46219,0.14693
-0.47164,0.14492
-0.48099,0.14293
-0.49023,0.14096
-0.49938,0.13903
-0.50947,0.1369
-0.51944,0.1348
-0.52931,0.13274
-0.53908,0.13073
-0.54986,0.12852
-0.56053,0.12637
-0.57109,0.12427
-0.58154,0.12223
-0.59311,0.12001
-0.60456,0.11787
-0.6159,0.1158
-0.62713,0.1138
-0.63957,0.11166
-0.65189,0.10962
-0.6641,0.10767
-0.6762,0.10582
-0.68962,0.10388
-0.70292,0.10205
-0.71611,0.10036
-0.72919,0.09879
-0.74371,0.097189
-0.75811,0.09575
-0.77241,0.094474
-0.78661,0.09336
-0.80243,0.092305
-0.81815,0.091456
-0.83377,0.090814
-0.8493,0.090379
-0.8667,0.090136
-0.88401,0.090157
-0.90123,0.090441
-0.91838,0.090988
-0.93765,0.091921
-0.95684,0.093189
-0.97597,0.094793
-0.99506,0.096732
-1.0166,0.099324
-1.038,0.10234
-1.0594,0.10579
-1.0808,0.10967
-1.105,0.11456
-1.1292,0.12001
-1.1534,0.126
-1.1777,0.13255
-1.2051,0.14061
-1.2326,0.14938
-1.2602,0.15886
-1.2879,0.16906
-1.2917,0.17049
-1.2955,0.17194
-1.2992,0.1734
-1.303,0.17488
